from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
8580,UPPE,2,240,113__1__102__TZM__518__518,HVL__1__2617__RAIL__Rail_MTuWThF-XHol
6055,6017,2,240,1__1__440__TZM__206__1__206__1,23__0__421__TZM__108__1__108__1
7017,7017,2,120,29__0__155__TZM__109__2__109__2,1__0__269__TZM__226__226
8297,TAIT1,2,0,121__1__120__TZM__426__426,HVL__1__3601__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,170__0__101__TZM__602__2__602__2,HVL__1__2605__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__736__TZM__305__305,KPL__1__6451__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,220__0__737__TZM__302__302,KPL__1__6451__RAIL__Rail_SaSu+Hol
6081,6081,2,120,2__1__236__NBM__40__4__40__4,18e__0__157__NBM__57__1__57__1
6081,6081,2,120,2__1__234__NBM__83__83,18e__0__157__NBM__57__1__57__1
8140,WATE1,2,0,160__1__152__TZM__612__612,HVL__1__3629__RAIL__Rail_MTuWThF-XHol
PORI1,2002,2,0,KPL__1__6421__RAIL__Rail_SaSu+Hol,60__1__706__MNM__1021__1021
WATE2,9140,2,0,HVL__0__3840__RAIL__Rail_SaSu+Hol,170__0__433__TZM__604__604
8140,WATE1,2,0,170__0__173__TZM__441__441,HVL__1__3643__RAIL__Rail_MTuWThF-XHol
7017,7017,2,120,23__1__714__TZM__107__107,1__0__739__TZM__109__1__109__1
3000,3000,2,120,1__0__487__TZM__202__1__202__1,60__0__447__MNM__2042__2042
9150,MELL,2,240,145__1__102__TZM__406__2__406__2,MEL__1__5601__RAIL__Rail_MTuWThF-XHol
5915,5915,2,0,21__0__723__NBM__206__5__206__5,22__0__723__NBM__4__5__4__5
2002,PORI1,2,0,230__1__122__TZM__308__1__308__1,KPL__1__6301__RAIL__Rail_MTuWThF-XHol
7017,7017,2,120,23__1__404__TZM__110__1__110__1,1__0__409__TZM__206__1__206__1
5915,5915,2,0,22__0__227__NBM__7__5__7__5,21__0__225__NBM__74__1__74__1
8251,TAIT1,2,0,120__1__180__TZM__419__1__419__1,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__180__TZM__419__2__419__2,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__178__TZM__410__1__410__1,HVL__1__3621__RAIL__Rail_MTuWThF-XHol
7720,7700,2,60,29__1__450__TZM__117__1__117__1,7__1__508__TZM__204__2__204__2
PORI2,2002,2,0,KPL__0__6416__RAIL__Rail_SaSu+Hol,230__0__403__TZM__303__2__303__2
6081,6081,2,120,2__1__456__NBM__8__4__8__4,18__0__417__NBM__36__4__36__4
4915,4915,2,0,22__1__226__NBM__7__5__7__5,21__1__220__NBM__74__1__74__1
9416,SILV,2,240,115__0__105__TZM__506__2__506__2,HVL__1__2615__RAIL__Rail_MTuWThF-XHol
9150,MELL,2,240,145__1__118__TZM__406__2__406__2,MEL__1__5627__RAIL__Rail_MTuWThF-XHol
6224,6224,2,240,2__1__498__NBM__25__4__25__4,12__0__449__NBM__24__4__24__4
WATE2,9140,2,0,HVL__0__3838__RAIL__Rail_SaSu+Hol,160__0__427__TZM__603__1__603__1
7036,7036,2,120,28__1__106__NBM__48__1__48__1,30x__1__112__NBM__68__1__68__1
7026,7224,2,120,12__1__434__NBM__22__4__22__4,2__0__475__NBM__25__4__25__4
8140,WATE1,2,0,160__1__416__TZM__602__1__602__1,HVL__1__3825__RAIL__Rail_SaSu+Hol
UPPE,8579,2,240,HVL__0__3868__RAIL__Rail_SaSu+Hol,110__0__751__TZM__505__1__505__1
8165,WATE1,2,0,130__1__730__TZM__406__406,HVL__1__3843__RAIL__Rail_SaSu+Hol
TAIT2,9251,2,0,HVL__0__3846__RAIL__Rail_SaSu+Hol,120__0__457__TZM__413__413
PORI2,2002,2,0,KPL__0__6342__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__301__2__301__2
PORI2,2002,2,0,KPL__0__6342__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__301__3__301__3
PORI2,2002,2,0,KPL__0__8224__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__301__2__301__2
PORI2,2002,2,0,KPL__0__8224__RAIL__Rail_MTuWThF-XHol,230__0__143__TZM__301__3__301__3
7720,7700,2,60,29__1__428__TZM__103__1__103__1,7__1__460__TZM__204__2__204__2
PORI2,2003,2,0,KPL__0__6464__RAIL__Rail_SaSu+Hol,220__1__744__TZM__305__305
8580,UPPE,2,240,111__0__137__TZM__518__518,HVL__1__3619__RAIL__Rail_MTuWThF-XHol
WAIK,1501,2,240,KPL__0__6460__RAIL__Rail_SaSu+Hol,280__0__425__UZM__4702__4702
2003,PORI1,2,0,210__1__408__TZM__305__1__305__1,KPL__1__6423__RAIL__Rail_SaSu+Hol
8297,TAIT1,2,0,121__1__114__TZM__427__427,HVL__1__2623__RAIL__Rail_MTuWThF-XHol
2002,PORI1,2,0,236__1__430__TZM__306__1__306__1,KPL__1__6467__RAIL__Rail_SaSu+Hol
PORI2,2003,2,0,KPL__0__6444__RAIL__Rail_SaSu+Hol,220__1__432__TZM__304__1__304__1
3000,3000,2,120,1__0__455__TZM__101__2__101__2,19__0__427__TZM__210__210
PORI1,2002,2,0,KPL__1__6453__RAIL__Rail_SaSu+Hol,60__1__446__MNM__2042__2042
UPPE,8579,2,240,HVL__0__3824__RAIL__Rail_SaSu+Hol,111__0__417__TZM__508__508
6720,7720,2,120,7__0__441__TZM__204__2__204__2,17__0__421__TZM__102__1__102__1
7720,7700,2,60,17__1__410__TZM__102__1__102__1,7__1__426__TZM__209__209
6720,7720,2,120,7__0__135__TZM__215__215,29__0__117__TZM__105__2__105__2
PORI2,2003,2,0,KPL__0__6420__RAIL__Rail_SaSu+Hol,226__0__407__TZM__308__308
PARA2,1000,2,0,KPL__0__6338__RAIL__Rail_MTuWThF-XHol,260__0__143__UZM__1032__1032
2600,PARE,2,240,236__1__136__TZM__316__316,KPL__1__6343__RAIL__Rail_MTuWThF-XHol
2600,PARE,2,240,236__1__136__TZM__316__1__316__1,KPL__1__6343__RAIL__Rail_MTuWThF-XHol
2600,PARE,2,240,236__1__136__TZM__316__2__316__2,KPL__1__6343__RAIL__Rail_MTuWThF-XHol
8251,TAIT1,2,0,120__1__732__TZM__601__601,HVL__1__3849__RAIL__Rail_SaSu+Hol
PORI2,2001,2,0,KPL__0__6338__RAIL__Rail_MTuWThF-XHol,210__0__135__TZM__306__2__306__2
PORI2,2001,2,0,KPL__0__8218__RAIL__Rail_MTuWThF-XHol,210__0__135__TZM__306__2__306__2
PORI2,2002,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,236__0__131__TZM__316__316
PORI2,2002,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,236__0__131__TZM__316__1__316__1
PORI2,2002,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,236__0__131__TZM__316__2__316__2
1810,FEAT,2,0,200__0__119__TZM__1001__2__1001__2,WRL__1__1609__RAIL__Rail_MTuWThF-XHol
2002,PORI2,2,0,60__0__115__MNM__3031__3031,KPL__0__6236__RAIL__Rail_MTuWThF-XHol
6081,6081,2,120,2__1__152__NBM__119__3__119__3,18e__0__143__NBM__112__4__112__4
1001,PARA1,2,0,250__0__411__UZM__4705__4705,KPL__1__6435__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__728__TZM__603__603,HVL__1__3865__RAIL__Rail_SaSu+Hol
WATE2,9140,2,0,HVL__0__3636__RAIL__Rail_MTuWThF-XHol,170__0__169__TZM__608__608
PORI2,2003,2,0,KPL__0__6434__RAIL__Rail_SaSu+Hol,220__1__422__TZM__301__1__301__1
WATE2,9165,2,0,HVL__0__3860__RAIL__Rail_SaSu+Hol,130__0__743__TZM__406__406
PARA2,1000,2,0,KPL__0__6420__RAIL__Rail_SaSu+Hol,250__0__405__UZM__4704__4704
PORI2,2001,2,0,KPL__0__6456__RAIL__Rail_SaSu+Hol,210__0__719__TZM__306__306
WAIK,1501,2,240,KPL__0__6418__RAIL__Rail_SaSu+Hol,281__0__403__UZM__4702__4702
1001,PARA1,2,0,261__1__146__UZM__3609__3609,KPL__1__6343__RAIL__Rail_MTuWThF-XHol
